site,Bird_Point,BoVisit1,BoVisit2,BoVisit3,SaVisit1,SaVisit2,SaVisit3,SeVisit1,SeVisit2,SeVisit3,LcVisit1,LcVisit2,LcVisit3,WeVisit1,WeVisit2,WeVisit3,CcVisit1,CcVisit2,CcVisit3,Time1,Date1,Cloud1,Temp1,Wind1,Time2,Date2,Cloud2,Temp2,Wind2,Time3,Date3,Cloud3,Temp3,Wind3,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,DistanceToNearWoody,Trees,Shrubs,WoodyIndex,Point,Burned,BurnArea,TestCol,UTM_E,UTM_N,VOR_GIS
OAK1,OAK1,1,0,0,5,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,14,80,13,0,3.65,24,3,20.7,8.3,3.816666667,36,15,22.2,17,15,18.70828693,85,18.70828693,0,0,1,2.236067977,22.24,5.455318506,6.875,1.593443598,2.28,0.846758525,NA,0,0,0,1,Y,A,A,625252.286,5308464.094,16.13030379
OAK5,OAK5,2,1,0,4,3,3,1,0,1,0,0,1,1,0,1,1,0,1,0.233333333,14,70,13,0,3.416666667,24,6,20.1,11.3,3.633333333,36,35,23.2,17.3,13.75,17.96988221,86.25,17.96988221,0,0,0,0,19.38125,9.941922496,10.78125,3.035167143,1.68125,1.236152465,NA,0,0,0,5,Y,A,A,625651.147,5308468.063,35.3892115
OAK13,OAK13,2,0,0,6,4,5,0,0,0,1,0,0,0,1,0,0,0,1,0.8,14,60,14.5,0,3.816666667,24,2,21,8.5,3.966666667,36,10,22.1,16.3,4,6.519202405,96,6.519202405,0,0,0,0,26.435,6.176836771,14.875,6.575879219,2.245,1.688416418,NA,0,0,0,13,Y,A,A,625260.224,5308261.688,20.75158487
OAK15,OAK15,1,0,1,3,4,4,0,0,0,3,0,0,1,1,1,1,1,0,0.416666667,14,70,13,0,3.233333333,24,8,20.1,8.7,3.45,36,40,22,18.5,4,4.183300133,96,4.183300133,0,0,0,0,19.51,7.932992815,8.875,4.643543905,1.99,1.15442085,12,0,1,1,15,Y,A,A,625458.222,5308265.702,19.66296726
OAK27,OAK27,4,1,0,5,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0.6,14,65,14,0,3.066666667,24,5,19.3,6.3,3.283333333,36,40,24.4,12.3,12,15.24795068,88,15.24795068,0,0,0,0,28.49,13.30850997,10.25,2.100967039,2.285,0.616086439,32,0,3,3,27,Y,A,A,625464.462,5308065.332,28.64108999
OAK37,OAK37,1,0,0,0,3,1,2,0,2,0,0,1,0,1,1,3,3,3,1.05,14,60,15.5,0,2.866666667,24,5,18.9,8.7,0.083333333,36,6,17.9,10.9,36,26.07680962,51,32.48076354,13,14.83239697,0,0,46.03,12.95955728,29.625,7.986805525,1.655,1.01679644,0,1,31,32,37,N,U,A,625277.344,5307669.883,33.55732253
OAK39,OAK39,2,3,1,2,5,6,0,0,1,0,0,0,2,1,1,2,0,0,1.216666667,14,50,15,0,2.716666667,24,4,18.5,9.2,0.25,36,8,18,8.3,0,0,100,0,0,0,0,0,30.72,5.148707362,16,7.559658557,1.635,0.506705042,48,0,1,1,39,N,U,A,625475.974,5307678.796,36.08283585
OAK51,OAK51,2,2,0,2,3,4,2,0,2,0,0,0,1,2,1,1,1,1,1.4,14,60,15.5,0,2.55,24,4,18.3,9.4,0.4,36,7,18.2,10,21,24.59674775,76,25.0998008,3,4.472135955,0,0,36.055,18.05889151,18.125,12.35067053,3.035,1.635791093,62,3,6,9,51,N,U,A,625482.34,5307479.529,32.90835135
OAK53,OAK53,3,2,0,4,5,6,1,0,1,1,0,0,1,2,1,0,0,0,1.583333333,14,68,15.5,0,2.383333333,24,4,18.3,16,0.55,36,12,18.8,10.3,8.75,14.36140662,91.25,14.36140662,0,0,0,0,29.89375,7.187673911,14.0625,3.442231592,1.75,0.520016025,NA,0,0,0,53,N,U,A,625683.517,5307487.805,33.02605522
OAK63,OAK63,1,1,0,3,3,6,2,1,2,1,1,0,0,2,1,0,1,1,2.183333333,14,70,16,3.6,1.983333333,24,4,17.3,6.5,1.1,36,30,18.8,16.5,13,13.96424004,87,13.96424004,0,0,0,0,25.03,4.139119774,12.625,6.693630368,3.29,0.978615093,NA,0,0,0,63,N,U,A,626276.389,5307714.583,30.86350411
OAK73,OAK73,3,1,0,2,3,1,0,1,1,1,0,0,0,0,0,1,3,1,1.8,14,70,15.5,2.5,2.166666667,24,5,17.5,8.1,0.766666667,36,20,18.5,12.3,5,3.535533906,95,3.535533906,0,0,0,0,43.79,20.34371525,31.625,24.71952037,1.915,1.563509674,53,0,31,31,73,N,U,A,626082.41,5307504.877,36.09673077
OAK75,OAK75,1,1,0,1,1,2,0,1,1,1,0,0,0,2,1,3,2,2,1.983333333,14,75,16.1,1.9,1.766666667,24,5,16.9,7.4,0.933333333,36,25,18.6,18.2,16,17.81852968,75,21.79449472,9,20.1246118,0,0,35.69,9.763317827,30.75,6.34921255,1.385,1.093960694,10,1,31,32,75,N,U,A,626282.296,5307516.1,35.58681423
OAK77,OAK77,3,2,0,4,3,1,0,0,1,0,0,0,0,2,0,0,0,1,2.4,14,70,16,6.1,1.566666667,24,10,16.6,7.2,1.283333333,36,50,18.9,15,13.75,17.96988221,83.75,17.96988221,2.5,5,0,0,37.6625,10.10100036,20,11.46779912,2.25,0.889990637,51,0,26,26,77,N,U,A,626482.551,5307524.371,30.8072898
OAK87,OAK87,0,0,0,2,2,3,1,2,2,0,1,0,0,2,0,1,2,2,3.216666667,14,70,19,2.6,0.8,24,5,14.2,1.6,2.016666667,36,80,19,16.4,35,35.11884584,62.5,38.62210075,2.5,5,0,0,38.59375,13.41464335,31.71875,13.24228352,0.9875,0.762260891,29,4,6,10,87,N,U,A,625793.392,5307142.391,41.67837175
OAK89,OAK89,0,0,0,0,0,0,2,3,1,0,2,0,1,1,0,1,0,0,3.05,14,65,18.5,0,0.983333333,24,6,15,4,1.85,36,70,18.7,15.1,55,42.03173404,45,42.03173404,0,0,3.75,4.787135539,51.90625,12.4109054,38.28125,13.1534909,1.06875,1.19012867,90,1,0,1,89,N,U,A,625992.738,5307157.909,43.90297289
OAK93,OAK93,0,0,1,3,1,2,2,3,2,0,1,1,0,1,0,1,0,0,2.816666667,14,45,18.5,0,1.183333333,24,6,15,5.3,1.65,36,60,19,11.8,15,12.90994449,85,12.90994449,0,0,0,0,54.4875,8.838752269,42.5,8.35414069,2.1375,1.822715465,NA,0,0,0,93,N,U,A,626391.43,5307186.558,43.07819907
OAK95,OAK95,0,1,0,2,2,1,2,1,2,0,0,0,0,1,0,1,2,2,2.616666667,14,50,18.3,6.5,1.35,24,6,15.3,2.9,1.5,36,40,19,15,10,7.071067812,90,7.071067812,0,0,4,8.94427191,41.485,13.80718337,33.125,16.88078605,2.575,0.968407197,0,0,31,31,95,N,U,A,626591.97,5307199.688,41.10421783
OAK98,OAK98,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,3,3,2,3.5,14,65,18.1,0,0.566666667,24,7,13,0,2.616666667,36,68,19.2,18.9,11,8.94427191,86,8.94427191,3,6.708203932,0,0,42.285,15.65368966,29.625,21.68939113,2.91,0.873140882,0,31,31,62,98,N,U,A,625501.592,5306874.413,29.86255336
OAK108,OAK108,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,3,2,4,4.016666667,14,25,22,7.1,0.016666667,24,6,12.6,3.2,2.8,36,40,19.7,20.3,22,17.53567792,46,28.80972058,32,26.12470096,1,2.236067977,45.195,11.5340989,40,14.92821364,3.395,2.488498543,0,0,31,31,108,N,U,A,625308.442,5306661.22,36.96357654
OAK110,OAK110,3,0,0,1,3,2,0,2,1,0,2,0,0,1,0,0,2,3,3.85,14,30,22.1,2.7,0.183333333,24,8,12.6,2.1,2.433333333,36,50,19.1,15.2,10,12.24744871,76,31.30495168,14,20.73644135,0,0,31.835,11.94958943,21.75,17.09006473,2.97,1.658161633,43,3,25,28,110,N,U,A,625507.969,5306678.075,25.89079712
OAK112,OAK112,1,1,1,0,0,3,1,2,1,0,0,1,0,1,0,1,3,3,3.7,14,53,19,0,0.366666667,24,8,12.6,3.5,2.266666667,36,70,19.1,12.1,33,21.67948339,50,29.15475947,19,19.49358869,0,0,43.315,4.68056487,35.5,10.07200638,2.28,1.651457689,0,3,31,34,112,N,U,U,625707.951,5306688.097,37.28370068
OAK120,OAK120,2,1,0,5,3,3,0,1,2,0,2,2,1,0,1,0,0,2,2.883333333,15,6,19,8.6,0.15,25,10,15.3,4.5,1.45,39,1,12.9,6,44,35.77708764,56,35.77708764,0,0,2,2.738612788,22.285,17.75869153,13.75,9.95105208,1.65,0.712170977,88,1,0,1,120,N,U,U,626299.937,5306932.606,26.59911619
OAK130,OAK130,3,0,0,2,3,3,1,2,1,1,0,0,0,1,2,0,2,4,3.066666667,15,7,19,7.5,0.316666667,25,6,15,2.4,1.766666667,39,1,13.4,6.3,26,28.80972058,74,28.80972058,0,0,0,0,30.425,8.170124693,21.875,6.296700525,1.69,0.811749654,27,3,0,3,130,N,U,U,626107.39,5306718.464,31.62088814
OAK132,OAK132,2,1,1,2,3,3,0,1,1,0,0,0,0,0,1,2,4,2,2.716666667,15,6,18.8,8.2,0.483333333,25,13,15,5.5,1.6,39,3,13.3,6.2,64,27.01851217,36,27.01851217,0,0,0,0,22.925,10.61521608,23.125,27.5603032,1.78,1.230015244,56,4,0,4,132,N,U,U,626307.135,5306732.26,26.52757544
OAK134,OAK134,2,0,0,1,4,3,2,3,2,1,0,0,0,2,1,1,2,1,2.533333333,15,5,18.2,6.1,0.65,25,10,14.3,6.7,1.283333333,39,2,12,1,50,46.18802154,50,46.18802154,0,0,0,0,25.3625,12.01009124,12.65625,9.28954105,3.5125,1.09895784,61,1,1,2,134,N,U,U,626505.681,5306746.656,27.5073581
OAK146,OAK146,1,0,0,3,4,3,2,2,3,1,1,1,1,2,1,0,0,1,2.366666667,15,5,18,3.5,0.833333333,25,35,15,8,1.133333333,39,3,11.4,6.4,36,49.79959839,64,49.79959839,0,0,0,0,54.215,17.47160732,34.625,18.74791655,3.325,3.020761493,58,1,0,1,146,N,U,U,626511.679,5306547.511,34.93055556
OAK151,OAK151,2,1,0,1,1,3,5,0,2,0,0,0,0,1,1,2,1,3,-0.016666667,15,2,7.5,2.4,3.066666667,25,50,21.4,8.6,2.9,39,2,17.5,6,28,10.95445115,40,33.91164992,32,39.62322551,0,0,48.035,23.32607581,37.875,24.02228783,2.88,3.002779962,0,0,31,31,151,Y,F,U,625321.616,5306261.026,38.87640428
OAK160,OAK160,0,0,0,1,1,1,4,2,3,0,0,0,0,0,1,2,0,3,0.15,15,2,7.6,0,2.883333333,25,50,20.3,7.2,2.733333333,39,4,17.6,2.5,34,37.8153408,44,36.46916506,22,33.46640106,0,0,52.84,16.8712644,38.25,20.50342959,1.825,1.935523185,0,3,31,34,160,Y,F,U,625326.629,5306062.282,46.96912885
OAK164,OAK164,2,0,1,1,4,2,1,0,1,1,1,1,0,0,0,4,1,5,1.05,15,3,11.5,0,2.65,25,30,20.4,9.1,2.033333333,39,2,14.1,4,30,15.8113883,62,24.8997992,2,4.472135955,0,0,33.68,13.86326531,21.125,10.28310204,3.93,1.866346699,5,3,31,34,164,Y,F,U,625724.998,5306091.757,32.3214781
OAK174,OAK174,2,1,0,1,3,3,2,1,3,0,0,0,0,0,0,3,4,2,0.35,15,5,8.1,0,2.466666667,25,50,19.1,6.5,2.566666667,39,1,17,7.2,42,33.46640106,58,33.46640106,0,0,5,11.18033989,44.675,13.33602968,24,12.01073738,4.07,1.969247953,5,1,31,32,174,Y,F,U,625531.308,5305875.328,38.93057559
OAK186,OAK186,0,0,0,1,1,1,0,2,1,0,1,1,0,0,0,3,4,4,0.566666667,15,5,8.3,0,2.283333333,25,60,18.7,4.1,2.4,39,5,16.3,6.4,20,29.15475947,74,37.14835124,6,8.94427191,0,0,63.03,18.98807521,34.5,18.32540075,5.615,3.411268093,0,35,31,66,186,Y,F,U,625537.202,5305674.058,44.03538614
OAK188,OAK188,0,1,0,0,3,0,3,2,2,0,0,1,0,2,1,1,2,1,0.766666667,15,3,11.2,0,2.1,25,30,18.6,3.8,2.266666667,39,4,15.6,7.5,30,31.6227766,54,33.61547263,16,11.40175425,0,0,56.965,14.81125628,36.375,20.23494811,3.99,1.091673028,0,2,31,33,188,Y,F,U,625737.63,5305690.01,50.4279127
OAK196,OAK196,1,2,0,1,1,3,0,1,2,0,0,0,1,1,1,3,3,4,2.083333333,15,5,18,3.6,1.083333333,25,30,15.3,6.4,0.883333333,39,3,11,2,55,11.18033989,32,10.95445115,13,4.472135955,0,0,36.605,5.535973266,30.125,6.146009884,2.58,1.457459262,0,7,31,38,196,N,U,U,626125.123,5306119.148,43.2107213
OAK206,OAK206,2,2,0,0,1,3,3,1,0,0,1,0,0,2,1,2,3,4,1.9,15,3,15,0,1.266666667,25,18,15.6,4.5,0.716666667,39,3,11,2.5,52,38.98717738,42,32.71085447,6,13.41640786,0,0,31.845,16.49965341,25.625,13.49189572,2.63,1.132254388,5,4,31,35,206,N,U,U,626131.653,5305918.927,35.45310025
OAK208,OAK208,0,3,0,1,3,3,1,0,1,0,0,2,0,2,2,3,3,3,1.716666667,15,6,15,0,1.483333333,25,20,17.6,1.8,0.55,39,2,11,0,36,25.0998008,64,25.0998008,0,0,0,0,32.855,12.33559889,21,12.37121154,2.135,0.861430496,50,2,2,4,208,N,U,U,626331.224,5305932.578,35.32574804
OAK218,OAK218,2,1,2,0,2,4,3,2,1,0,1,0,0,1,1,3,3,2,1.333333333,15,5,14.8,0,1.883333333,25,20,18.2,6.3,0.2,39,4,10.5,0,24,27.01851217,72,27.74887385,4,8.94427191,0,0,26.45,7.135321471,17.5,8.546746457,3.095,0.537180137,0,5,31,36,218,N,U,U,626136.854,5305719.356,36.12727201
OAK222,OAK222,0,1,1,2,4,3,1,0,1,0,0,0,2,2,3,2,0,2,1.533333333,15,3,15,0,1.666666667,25,36,17.5,2.1,0.383333333,39,2,11,0,40,29.15475947,60,29.15475947,0,0,0,0,14.85,8.562436131,10,6.059599822,2.735,1.398168445,52,3,3,6,222,N,U,U,626536.646,5305747.959,22.87898104
